,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2850.0,4.0,428.0,4
1,1st Block Jayanagar,1630.0,3.0,194.0,3
2,1st Block Jayanagar,1200.0,6.0,125.0,6
3,1st Block Jayanagar,1875.0,2.0,235.0,3
4,1st Block Jayanagar,1000.0,3.0,60.0,2
5,1st Block Jayanagar,930.0,4.0,85.0,7
6,1st Block Jayanagar,700.0,4.0,104.0,8
7,1st Block Jayanagar,1200.0,2.0,130.0,3
8,1st Block Jayanagar,1235.0,2.0,148.0,2
9,1st Block Jayanagar,2750.0,4.0,413.0,4
10,1st Block Jayanagar,1760.0,3.0,115.0,3
11,1st Block Jayanagar,2450.0,4.0,368.0,4
13,1st Phase JP Nagar,1875.0,3.0,167.0,3
14,1st Phase JP Nagar,1500.0,5.0,85.0,5
15,1st Phase JP Nagar,2065.0,4.0,210.0,3
17,1st Phase JP Nagar,2059.0,3.0,225.0,3
18,1st Phase JP Nagar,1394.0,2.0,100.0,2
19,1st Phase JP Nagar,1077.0,2.0,93.0,2
20,1st Phase JP Nagar,1566.0,2.0,180.0,2
21,1st Phase JP Nagar,840.0,2.0,50.0,1
22,1st Phase JP Nagar,1590.0,3.0,131.0,3
23,1st Phase JP Nagar,2180.0,3.0,210.0,3
24,1st Phase JP Nagar,1180.0,2.0,88.5,2
26,1st Phase JP Nagar,1200.0,2.0,86.0,2
27,1st Phase JP Nagar,1394.0,2.0,85.0,2
28,1st Phase JP Nagar,2077.0,3.0,175.0,3
30,1st Phase JP Nagar,1205.0,2.0,85.0,2
32,1st Phase JP Nagar,900.0,2.0,75.0,2
33,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
36,2nd Stage Nagarbhavi,1200.0,4.0,245.0,4
37,2nd Stage Nagarbhavi,1200.0,4.0,285.0,5
38,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
39,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
40,2nd Stage Nagarbhavi,600.0,3.0,95.0,4
41,2nd Stage Nagarbhavi,600.0,4.0,100.0,3
42,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
43,2nd Stage Nagarbhavi,600.0,4.0,125.0,4
44,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
45,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
46,2nd Stage Nagarbhavi,600.0,3.0,84.0,4
47,2nd Stage Nagarbhavi,600.0,3.0,82.0,4
49,2nd Stage Nagarbhavi,1500.0,4.0,233.0,6
50,5th Block Hbr Layout,1200.0,6.0,250.0,6
51,5th Block Hbr Layout,1206.0,2.0,56.0,2
52,5th Block Hbr Layout,1270.0,2.0,70.0,3
53,5th Block Hbr Layout,1200.0,6.0,220.0,5
54,5th Block Hbr Layout,1200.0,4.0,205.0,4
55,5th Block Hbr Layout,1312.0,2.0,69.0,2
56,5th Block Hbr Layout,1100.0,2.0,48.0,2
57,5th Block Hbr Layout,3600.0,5.0,130.0,5
58,5th Block Hbr Layout,1200.0,5.0,205.0,5
59,5th Block Hbr Layout,5100.0,5.0,300.0,6
60,5th Block Hbr Layout,1200.0,5.0,205.0,5
61,5th Phase JP Nagar,1075.0,2.0,60.0,2
62,5th Phase JP Nagar,1150.0,3.0,52.5,2
63,5th Phase JP Nagar,1070.0,2.0,39.0,2
64,5th Phase JP Nagar,1256.0,2.0,62.8,2
65,5th Phase JP Nagar,1207.0,2.0,63.0,2
66,5th Phase JP Nagar,1725.0,2.0,100.0,3
67,5th Phase JP Nagar,1440.0,2.0,60.0,2
68,5th Phase JP Nagar,1400.0,2.0,88.0,3
69,5th Phase JP Nagar,1450.0,2.0,58.0,2
70,5th Phase JP Nagar,1700.0,2.0,100.0,3
72,5th Phase JP Nagar,2500.0,5.0,110.0,5
73,5th Phase JP Nagar,600.0,1.0,30.0,1
74,5th Phase JP Nagar,1390.0,2.0,65.0,2
75,5th Phase JP Nagar,1220.0,2.0,88.0,2
76,5th Phase JP Nagar,1000.0,2.0,48.0,2
77,5th Phase JP Nagar,1350.0,2.0,75.0,3
78,5th Phase JP Nagar,552.0,1.0,23.5,1
